TransactionID,Date,Time,CustomerID,Age,Gender,Location,StoreID,OnlineOrderFlag,ProductID,ProductName,Category,Quantity,UnitPrice,TotalPrice,PaymentType,PromotionApplied,DiscountAmount,GiftWrap,ShippingMethod,DeliveryTime,Weather,Event,CustomerSatisfaction,ReturnFlag
26,24-12-2018,22:31:32,113,18,Male,City_9,30,FALSE,648,Decorations_Product,Decorations,2,29.32995627,58.65991254,Credit Card,FALSE,5.865991254,TRUE,,,Snowy,Black Friday,2,FALSE
27,06-12-2021,08:22:32,19,35,Male,City_20,,TRUE,696,Decorations_Product,Decorations,2,41.35014224,82.70028448,Credit Card,TRUE,0,FALSE,Overnight,1,Snowy,None,1,TRUE
28,03-12-2019,04:22:11,52,51,Male,City_6,76,FALSE,917,Electronics_Product,Electronics,2,18.30060647,36.60121294,Credit Card,TRUE,3.660121294,TRUE,,,Rainy,Black Friday,4,TRUE
29,05-12-2022,14:51:45,97,55,Other,City_8,,TRUE,237,Toys_Product,Toys,4,42.40679013,169.6271605,Credit Card,TRUE,0,TRUE,Express,2,Snowy,Christmas Market,3,TRUE
30,23-11-2021,06:19:53,163,61,Male,City_9,8,FALSE,605,Food_Product,Food,3,55.86502778,167.5950833,Cash,FALSE,16.75950833,FALSE,,,Snowy,Black Friday,1,FALSE
31,20-12-2018,07:34:07,497,54,Other,City_13,38,FALSE,866,Decorations_Product,Decorations,2,35.49895959,70.99791918,Cash,TRUE,0,FALSE,,,Sunny,None,5,TRUE
32,23-12-2020,20:20:04,393,41,Female,City_9,,TRUE,618,Clothing_Product,Clothing,2,23.48797244,46.97594489,Cash,FALSE,0,TRUE,Overnight,1,Snowy,Christmas Market,4,TRUE
33,05-12-2023,11:05:37,26,54,Other,City_12,,TRUE,318,Clothing_Product,Clothing,5,24.39762872,121.9881436,Online Payment,FALSE,12.19881436,TRUE,Overnight,4,Sunny,Black Friday,3,TRUE
34,07-11-2018,05:25:36,215,24,Male,City_2,73,FALSE,427,Decorations_Product,Decorations,5,66.24160918,331.2080459,Cash,FALSE,0,TRUE,,,Sunny,Christmas Market,1,TRUE
35,15-11-2019,00:36:50,179,67,Male,City_7,,TRUE,813,Clothing_Product,Clothing,1,91.73863572,91.73863572,Credit Card,TRUE,0,FALSE,Express,3,Rainy,Christmas Market,5,TRUE
36,11-11-2018,08:01:19,377,28,Male,City_9,,TRUE,718,Electronics_Product,Electronics,3,20.08620872,60.25862617,Debit Card,TRUE,0,FALSE,Express,3,Snowy,Christmas Market,1,TRUE
37,19-12-2018,22:23:31,177,69,Other,City_9,,TRUE,228,Electronics_Product,Electronics,3,44.43614065,133.308422,Online Payment,TRUE,0,FALSE,Standard,5,Sunny,Christmas Market,3,TRUE
38,17-11-2022,02:29:20,168,54,Other,City_9,,TRUE,924,Electronics_Product,Electronics,5,74.09690773,370.4845387,Credit Card,FALSE,0,TRUE,Standard,3,Sunny,Christmas Market,5,TRUE
39,18-12-2022,15:59:43,184,39,Female,City_13,,TRUE,513,Food_Product,Food,5,31.61629973,158.0814987,Debit Card,TRUE,15.80814987,FALSE,Express,5,Sunny,Black Friday,4,FALSE
40,17-11-2019,21:27:08,288,45,Other,City_4,20,FALSE,146,Clothing_Product,Clothing,2,18.43094789,36.86189577,Debit Card,FALSE,0,TRUE,,,Sunny,None,3,TRUE
41,21-12-2021,22:09:55,359,62,Other,City_6,,TRUE,122,Food_Product,Food,2,93.32665645,186.6533129,Cash,TRUE,0,FALSE,Express,5,Rainy,None,2,TRUE
42,22-12-2021,10:32:38,204,59,Male,City_7,,TRUE,68,Food_Product,Food,4,57.36855054,229.4742022,Debit Card,TRUE,0,FALSE,Overnight,1,Sunny,None,2,FALSE
43,16-11-2023,23:47:12,15,42,Female,City_7,,TRUE,171,Electronics_Product,Electronics,3,77.62282233,232.868467,Cash,TRUE,0,TRUE,Overnight,4,Sunny,None,3,FALSE
44,04-11-2020,23:17:32,292,34,Other,City_9,,TRUE,759,Decorations_Product,Decorations,4,87.60777349,350.431094,Debit Card,FALSE,0,FALSE,Standard,4,Sunny,None,1,TRUE
45,12-11-2019,10:56:53,292,42,Female,City_6,,TRUE,793,Clothing_Product,Clothing,3,32.9962309,98.98869269,Online Payment,FALSE,9.898869269,TRUE,Express,5,Rainy,Black Friday,3,TRUE
46,24-12-2019,07:05:00,13,23,Other,City_5,,TRUE,968,Electronics_Product,Electronics,5,85.11299226,425.5649613,Credit Card,FALSE,0,TRUE,Express,1,Rainy,None,3,FALSE
47,03-11-2020,15:15:54,317,69,Female,City_2,,TRUE,348,Clothing_Product,Clothing,3,87.58882257,262.7664677,Cash,FALSE,0,FALSE,Standard,1,Rainy,Christmas Market,5,FALSE
48,22-11-2022,15:39:48,448,33,Male,City_5,,TRUE,722,Electronics_Product,Electronics,2,67.92499783,135.8499957,Online Payment,TRUE,0,TRUE,Overnight,4,Snowy,Christmas Market,4,TRUE
49,30-11-2019,09:16:06,333,57,Other,City_6,91,FALSE,525,Electronics_Product,Electronics,4,99.89468474,399.5787389,Cash,TRUE,0,FALSE,,,Snowy,None,5,FALSE
50,15-12-2019,13:06:29,403,28,Female,City_7,,TRUE,2,Clothing_Product,Clothing,1,27.79030372,27.79030372,Debit Card,TRUE,0,TRUE,Express,3,Rainy,None,2,FALSE
51,22-11-2018,19:54:29,144,68,Female,City_1,6,FALSE,576,Toys_Product,Toys,2,91.28600953,182.5720191,Debit Card,FALSE,18.25720191,FALSE,,,Sunny,Black Friday,2,TRUE
52,16-12-2023,03:31:45,166,37,Male,City_2,,TRUE,898,Clothing_Product,Clothing,1,89.65107189,89.65107189,Debit Card,TRUE,0,TRUE,Express,5,Rainy,Christmas Market,4,TRUE
53,27-12-2022,05:37:17,50,57,Other,City_1,,TRUE,559,Food_Product,Food,1,43.66667685,43.66667685,Credit Card,FALSE,0,TRUE,Express,1,Rainy,Christmas Market,1,FALSE
54,26-12-2020,14:26:59,419,22,Other,City_2,,TRUE,704,Electronics_Product,Electronics,2,92.30535408,184.6107082,Debit Card,TRUE,18.46107082,FALSE,Standard,1,Snowy,Black Friday,2,TRUE
55,04-11-2022,02:55:40,455,66,Other,City_18,,TRUE,399,Decorations_Product,Decorations,5,31.4878916,157.439458,Cash,FALSE,0,FALSE,Overnight,1,Snowy,Christmas Market,4,FALSE
56,15-12-2021,16:56:39,64,36,Other,City_18,34,FALSE,912,Toys_Product,Toys,3,45.080534,135.241602,Debit Card,FALSE,13.5241602,TRUE,,,Snowy,Black Friday,4,TRUE
57,22-11-2019,17:25:03,130,57,Male,City_6,,TRUE,95,Decorations_Product,Decorations,2,24.43791828,48.87583656,Credit Card,TRUE,0,FALSE,Express,1,Sunny,None,1,TRUE
58,24-12-2023,04:41:47,167,47,Other,City_10,,TRUE,51,Decorations_Product,Decorations,1,93.89029546,93.89029546,Online Payment,FALSE,0,FALSE,Overnight,1,Snowy,None,4,FALSE
59,30-12-2021,03:58:38,253,34,Other,City_15,77,FALSE,492,Electronics_Product,Electronics,2,65.86888123,131.7377625,Cash,TRUE,0,TRUE,,,Snowy,None,5,FALSE
60,13-12-2020,14:00:12,283,31,Other,City_20,7,FALSE,433,Electronics_Product,Electronics,1,19.96229443,19.96229443,Debit Card,TRUE,0,FALSE,,,Sunny,None,4,FALSE
61,26-11-2018,04:35:13,289,18,Male,City_6,22,FALSE,420,Electronics_Product,Electronics,1,24.24178761,24.24178761,Cash,FALSE,2.424178761,TRUE,,,Snowy,Black Friday,1,TRUE
62,12-11-2023,04:33:59,292,46,Female,City_13,,TRUE,641,Decorations_Product,Decorations,2,52.29007831,104.5801566,Debit Card,TRUE,0,TRUE,Overnight,2,Sunny,None,5,FALSE
63,02-11-2018,21:49:14,191,33,Female,City_10,,TRUE,648,Clothing_Product,Clothing,5,56.26043398,281.3021699,Debit Card,FALSE,0,FALSE,Overnight,5,Snowy,Christmas Market,3,TRUE
64,30-12-2020,14:51:11,401,55,Female,City_12,72,FALSE,480,Electronics_Product,Electronics,2,80.86359592,161.7271918,Credit Card,TRUE,16.17271918,TRUE,,,Sunny,Black Friday,4,FALSE
65,25-11-2022,14:10:24,172,69,Female,City_9,,TRUE,801,Decorations_Product,Decorations,3,10.86556328,32.59668985,Debit Card,TRUE,3.259668985,TRUE,Standard,3,Snowy,Black Friday,1,FALSE
66,07-11-2021,21:35:09,380,23,Other,City_12,43,FALSE,454,Toys_Product,Toys,5,96.33759319,481.687966,Debit Card,TRUE,0,TRUE,,,Sunny,None,5,TRUE
67,26-12-2019,16:35:32,273,57,Other,City_2,29,FALSE,313,Decorations_Product,Decorations,2,29.16293855,58.3258771,Cash,FALSE,0,FALSE,,,Snowy,None,3,TRUE
68,24-12-2020,13:07:28,497,66,Other,City_2,,TRUE,670,Clothing_Product,Clothing,4,68.75242368,275.0096947,Debit Card,FALSE,27.50096947,FALSE,Express,1,Rainy,Black Friday,5,TRUE
69,26-12-2020,07:11:08,57,44,Female,City_13,19,FALSE,280,Decorations_Product,Decorations,1,83.70982419,83.70982419,Credit Card,TRUE,0,TRUE,,,Rainy,Christmas Market,1,TRUE
70,09-12-2020,02:36:57,337,48,Other,City_2,35,FALSE,492,Electronics_Product,Electronics,4,34.53250357,138.1300143,Online Payment,TRUE,0,FALSE,,,Snowy,None,4,TRUE
71,22-12-2021,14:00:15,43,49,Male,City_11,,TRUE,479,Toys_Product,Toys,4,45.03339629,180.1335852,Cash,FALSE,0,TRUE,Overnight,5,Sunny,None,5,TRUE
72,16-12-2023,06:09:54,137,62,Male,City_16,,TRUE,261,Toys_Product,Toys,1,12.65823407,12.65823407,Online Payment,FALSE,1.265823407,TRUE,Standard,3,Rainy,Black Friday,2,FALSE
73,06-11-2020,21:51:54,13,35,Other,City_20,,TRUE,95,Clothing_Product,Clothing,3,75.31099581,225.9329874,Debit Card,TRUE,0,FALSE,Overnight,4,Rainy,Christmas Market,3,FALSE
74,16-11-2018,23:00:26,379,54,Female,City_15,,TRUE,535,Toys_Product,Toys,1,98.40516391,98.40516391,Cash,TRUE,0,TRUE,Overnight,4,Sunny,Christmas Market,4,FALSE
75,18-12-2019,07:40:51,370,39,Male,City_7,3,FALSE,947,Electronics_Product,Electronics,5,10.49416744,52.47083721,Cash,FALSE,0,TRUE,,,Rainy,None,3,FALSE
76,08-12-2018,14:51:39,246,25,Other,City_6,,TRUE,21,Food_Product,Food,3,66.63749009,199.9124703,Credit Card,FALSE,19.99124703,TRUE,Express,2,Snowy,Black Friday,2,TRUE
77,12-12-2021,18:11:23,20,53,Male,City_3,,TRUE,368,Clothing_Product,Clothing,2,58.06705248,116.134105,Credit Card,FALSE,11.6134105,TRUE,Express,5,Snowy,Black Friday,4,FALSE
78,03-12-2022,11:57:27,309,53,Male,City_14,36,FALSE,948,Decorations_Product,Decorations,2,67.75525431,135.5105086,Cash,TRUE,0,TRUE,,,Snowy,None,4,TRUE
79,24-12-2020,06:13:16,176,30,Female,City_15,36,FALSE,280,Clothing_Product,Clothing,5,73.71695045,368.5847522,Cash,TRUE,36.85847522,FALSE,,,Sunny,Black Friday,3,FALSE
80,17-11-2021,22:45:30,457,26,Female,City_10,,TRUE,704,Electronics_Product,Electronics,5,36.96888543,184.8444271,Online Payment,FALSE,0,TRUE,Express,3,Sunny,None,5,FALSE
81,11-12-2022,09:24:45,395,66,Male,City_1,87,FALSE,162,Clothing_Product,Clothing,3,79.68374049,239.0512215,Credit Card,FALSE,23.90512215,TRUE,,,Rainy,Black Friday,2,TRUE
82,27-11-2018,13:19:34,141,19,Male,City_19,98,FALSE,403,Food_Product,Food,1,63.44909304,63.44909304,Debit Card,TRUE,6.344909304,TRUE,,,Sunny,Black Friday,1,FALSE
83,25-12-2022,10:32:35,424,40,Other,City_7,,TRUE,514,Electronics_Product,Electronics,3,10.90445886,32.71337658,Cash,FALSE,3.271337658,TRUE,Express,2,Rainy,Black Friday,3,FALSE
84,14-12-2022,13:03:36,285,57,Male,City_11,,TRUE,42,Clothing_Product,Clothing,1,18.37414743,18.37414743,Online Payment,TRUE,1.837414743,TRUE,Overnight,4,Sunny,Black Friday,4,FALSE
85,04-11-2018,22:29:10,88,51,Male,City_1,,TRUE,702,Electronics_Product,Electronics,2,69.03197538,138.0639508,Credit Card,TRUE,0,FALSE,Overnight,2,Snowy,Christmas Market,2,FALSE
86,08-12-2020,15:16:24,88,39,Male,City_18,34,FALSE,154,Toys_Product,Toys,4,59.31072414,237.2428966,Online Payment,FALSE,0,FALSE,,,Rainy,Christmas Market,4,FALSE
87,09-12-2018,07:29:05,266,19,Female,City_10,28,FALSE,877,Electronics_Product,Electronics,3,52.21764115,156.6529234,Credit Card,FALSE,15.66529234,TRUE,,,Snowy,Black Friday,2,TRUE
88,21-11-2019,11:41:50,271,29,Other,City_11,53,FALSE,572,Clothing_Product,Clothing,2,13.13791576,26.27583152,Debit Card,FALSE,0,TRUE,,,Snowy,Christmas Market,1,FALSE
89,26-11-2023,08:29:29,197,32,Female,City_6,,TRUE,895,Electronics_Product,Electronics,4,85.0671237,340.2684948,Cash,TRUE,34.02684948,TRUE,Express,2,Rainy,Black Friday,4,FALSE
90,30-11-2023,19:59:52,155,49,Other,City_17,51,FALSE,509,Electronics_Product,Electronics,3,85.37423841,256.1227152,Credit Card,TRUE,25.61227152,TRUE,,,Sunny,Black Friday,5,FALSE
91,18-11-2018,07:08:11,483,70,Other,City_15,71,FALSE,210,Electronics_Product,Electronics,2,75.4986668,150.9973336,Cash,FALSE,15.09973336,TRUE,,,Sunny,Black Friday,3,FALSE
92,08-11-2022,04:44:30,454,62,Other,City_20,,TRUE,494,Toys_Product,Toys,4,39.94097245,159.7638898,Online Payment,TRUE,0,FALSE,Standard,3,Snowy,None,4,TRUE
93,07-11-2023,06:45:18,53,32,Other,City_12,,TRUE,914,Decorations_Product,Decorations,2,93.49003467,186.9800693,Credit Card,FALSE,18.69800693,TRUE,Standard,2,Sunny,Black Friday,3,FALSE
94,11-11-2020,17:13:30,113,33,Male,City_9,3,FALSE,364,Electronics_Product,Electronics,1,68.45961504,68.45961504,Online Payment,TRUE,0,FALSE,,,Snowy,None,5,TRUE
95,17-12-2022,17:36:27,411,40,Female,City_16,48,FALSE,615,Food_Product,Food,1,64.58862125,64.58862125,Cash,FALSE,6.458862125,FALSE,,,Sunny,Black Friday,4,FALSE
96,25-11-2018,22:34:43,464,51,Female,City_5,8,FALSE,488,Electronics_Product,Electronics,5,10.54388751,52.71943756,Cash,FALSE,5.271943756,TRUE,,,Snowy,Black Friday,2,FALSE
97,08-12-2019,19:34:18,475,23,Female,City_19,97,FALSE,453,Clothing_Product,Clothing,5,67.63835772,338.1917886,Cash,TRUE,0,TRUE,,,Rainy,Christmas Market,2,FALSE
98,18-12-2022,11:37:18,176,69,Other,City_18,,TRUE,792,Clothing_Product,Clothing,5,31.49499298,157.4749649,Credit Card,TRUE,0,FALSE,Standard,2,Snowy,Christmas Market,2,FALSE
99,04-11-2022,22:23:41,9,69,Male,City_20,,TRUE,936,Electronics_Product,Electronics,2,23.8755016,47.7510032,Cash,TRUE,0,TRUE,Overnight,4,Sunny,Christmas Market,5,TRUE
100,03-11-2022,03:58:24,120,19,Other,City_8,70,FALSE,13,Food_Product,Food,4,20.04152523,80.16610091,Debit Card,FALSE,0,TRUE,,,Snowy,Christmas Market,2,FALSE
101,03-12-2023,22:30:28,420,21,Male,City_6,,TRUE,374,Decorations_Product,Decorations,1,82.22127485,82.22127485,Credit Card,FALSE,8.222127485,FALSE,Standard,3,Rainy,Black Friday,4,FALSE
102,17-12-2018,14:40:57,93,43,Other,City_18,30,FALSE,209,Decorations_Product,Decorations,5,24.84182888,124.2091444,Online Payment,FALSE,0,FALSE,,,Sunny,None,1,FALSE
103,28-12-2021,12:54:24,266,21,Other,City_5,,TRUE,776,Decorations_Product,Decorations,1,93.32794426,93.32794426,Cash,FALSE,0,TRUE,Standard,4,Sunny,Christmas Market,2,FALSE
104,06-12-2018,14:00:32,312,60,Other,City_4,63,FALSE,379,Decorations_Product,Decorations,1,48.94546053,48.94546053,Cash,TRUE,0,FALSE,,,Rainy,Christmas Market,2,FALSE
105,09-11-2018,07:03:58,285,22,Female,City_11,100,FALSE,752,Decorations_Product,Decorations,5,60.92595975,304.6297987,Online Payment,TRUE,0,TRUE,,,Rainy,Christmas Market,2,FALSE
106,30-12-2018,20:54:50,3,64,Female,City_18,3,FALSE,530,Decorations_Product,Decorations,1,58.36473136,58.36473136,Debit Card,FALSE,5.836473136,FALSE,,,Sunny,Black Friday,2,TRUE
107,31-12-2020,10:26:56,358,30,Female,City_1,28,FALSE,365,Electronics_Product,Electronics,2,26.57491349,53.14982698,Online Payment,TRUE,5.314982698,FALSE,,,Rainy,Black Friday,1,FALSE
108,25-12-2020,10:41:20,164,26,Other,City_9,64,FALSE,485,Clothing_Product,Clothing,3,44.55040027,133.6512008,Cash,FALSE,13.36512008,FALSE,,,Sunny,Black Friday,5,FALSE
109,02-11-2019,16:30:41,161,41,Female,City_9,81,FALSE,605,Food_Product,Food,2,52.42564792,104.8512958,Debit Card,TRUE,0,TRUE,,,Sunny,Christmas Market,3,TRUE
110,17-11-2018,06:04:34,417,26,Male,City_18,,TRUE,176,Electronics_Product,Electronics,3,28.07287674,84.21863021,Debit Card,FALSE,8.421863021,FALSE,Standard,4,Rainy,Black Friday,5,FALSE
111,20-12-2018,15:18:23,471,63,Other,City_17,99,FALSE,58,Toys_Product,Toys,1,90.03445467,90.03445467,Credit Card,TRUE,0,TRUE,,,Snowy,None,2,TRUE
112,27-11-2018,12:33:03,401,36,Other,City_2,,TRUE,73,Clothing_Product,Clothing,1,93.28315006,93.28315006,Debit Card,FALSE,9.328315006,FALSE,Standard,2,Sunny,Black Friday,2,FALSE
113,20-11-2022,23:58:09,305,47,Female,City_13,,TRUE,434,Decorations_Product,Decorations,2,95.04972805,190.0994561,Online Payment,TRUE,0,FALSE,Overnight,1,Snowy,None,4,FALSE
114,26-11-2023,23:46:37,373,40,Female,City_13,,TRUE,187,Toys_Product,Toys,5,15.40103189,77.00515944,Credit Card,TRUE,7.700515944,FALSE,Overnight,4,Snowy,Black Friday,2,FALSE
115,05-11-2023,07:51:53,226,44,Female,City_13,80,FALSE,426,Decorations_Product,Decorations,1,93.87027142,93.87027142,Cash,FALSE,0,TRUE,,,Rainy,None,1,TRUE
116,14-12-2020,16:20:53,429,55,Male,City_16,55,FALSE,838,Decorations_Product,Decorations,5,85.628004,428.14002,Online Payment,TRUE,0,FALSE,,,Rainy,None,2,FALSE
117,31-12-2019,10:01:42,304,65,Other,City_10,,TRUE,566,Electronics_Product,Electronics,4,16.80425209,67.21700837,Online Payment,FALSE,0,TRUE,Express,3,Snowy,Christmas Market,1,TRUE
118,25-12-2019,10:30:53,30,46,Other,City_16,62,FALSE,335,Food_Product,Food,3,63.80302787,191.4090836,Credit Card,TRUE,19.14090836,TRUE,,,Sunny,Black Friday,4,TRUE
119,27-12-2020,02:19:15,72,30,Female,City_1,43,FALSE,956,Decorations_Product,Decorations,2,43.82787063,87.65574127,Credit Card,TRUE,0,FALSE,,,Snowy,None,2,FALSE
120,12-11-2020,23:17:36,45,41,Other,City_4,27,FALSE,415,Toys_Product,Toys,5,41.25271553,206.2635776,Online Payment,TRUE,0,FALSE,,,Snowy,Christmas Market,1,FALSE
121,01-11-2023,00:31:31,466,67,Male,City_6,57,FALSE,620,Decorations_Product,Decorations,3,56.71009937,170.1302981,Cash,TRUE,17.01302981,TRUE,,,Snowy,Black Friday,2,FALSE
122,08-12-2021,18:27:16,291,65,Other,City_11,,TRUE,512,Food_Product,Food,2,43.51874413,87.03748826,Credit Card,TRUE,0,FALSE,Express,2,Snowy,Christmas Market,2,TRUE
123,16-12-2021,09:18:12,317,70,Male,City_10,,TRUE,987,Electronics_Product,Electronics,1,96.27042319,96.27042319,Credit Card,FALSE,9.627042319,FALSE,Overnight,2,Rainy,Black Friday,1,FALSE
124,21-12-2023,04:42:16,371,55,Male,City_3,,TRUE,638,Toys_Product,Toys,1,12.52564591,12.52564591,Online Payment,TRUE,0,FALSE,Express,5,Rainy,Christmas Market,2,TRUE
125,13-11-2023,06:43:52,467,26,Female,City_15,,TRUE,139,Toys_Product,Toys,4,78.02025372,312.0810149,Online Payment,FALSE,31.20810149,TRUE,Express,2,Rainy,Black Friday,1,FALSE
126,18-11-2020,22:18:24,457,47,Male,City_3,87,FALSE,719,Toys_Product,Toys,1,32.83490508,32.83490508,Credit Card,FALSE,0,FALSE,,,Sunny,None,3,TRUE
127,29-12-2023,07:47:16,434,43,Female,City_5,,TRUE,141,Decorations_Product,Decorations,2,64.57932877,129.1586575,Online Payment,FALSE,12.91586575,TRUE,Standard,2,Rainy,Black Friday,2,TRUE
128,21-12-2023,04:33:25,19,54,Other,City_9,,TRUE,145,Toys_Product,Toys,2,33.23136036,66.46272073,Online Payment,TRUE,0,FALSE,Standard,4,Snowy,Christmas Market,2,FALSE
129,16-12-2019,23:53:16,333,36,Female,City_19,11,FALSE,396,Electronics_Product,Electronics,5,60.58158317,302.9079159,Online Payment,TRUE,30.29079159,FALSE,,,Snowy,Black Friday,1,FALSE
130,04-11-2018,14:16:33,75,48,Female,City_4,,TRUE,375,Toys_Product,Toys,1,62.24178934,62.24178934,Cash,FALSE,6.224178934,TRUE,Standard,1,Sunny,Black Friday,2,TRUE
131,19-11-2023,01:32:12,471,37,Other,City_13,,TRUE,894,Clothing_Product,Clothing,2,79.34499719,158.6899944,Debit Card,FALSE,15.86899944,TRUE,Overnight,1,Rainy,Black Friday,4,FALSE
132,16-11-2018,20:13:00,137,53,Female,City_4,8,FALSE,343,Food_Product,Food,2,64.20800364,128.4160073,Online Payment,TRUE,0,TRUE,,,Snowy,None,1,TRUE
133,13-12-2019,23:12:06,227,29,Female,City_5,40,FALSE,263,Food_Product,Food,3,30.36706054,91.10118163,Debit Card,FALSE,9.110118163,FALSE,,,Snowy,Black Friday,3,TRUE
134,03-11-2021,20:58:32,254,63,Other,City_13,70,FALSE,702,Toys_Product,Toys,4,34.58994702,138.3597881,Online Payment,TRUE,13.83597881,FALSE,,,Rainy,Black Friday,3,TRUE
135,30-12-2023,09:26:12,359,45,Male,City_11,80,FALSE,201,Electronics_Product,Electronics,5,42.86629824,214.3314912,Cash,TRUE,0,TRUE,,,Rainy,None,1,TRUE
